objid,g,r,i,z,type,run,rerun,zNN,zNN_err,zRF,zRF_err
1237662223555494911,21.69333,20.85068,20.80313,20.22725,3,3900,301,0.208174,0.152342,0.151642,0.13167
1237662223555494941,21.7614,20.75302,20.32061,19.94734,3,3900,301,0.132258,0.016946,0.135104,0.0362704
1237662223555495206,21.43396,20.79136,20.6435,20.2992,3,3900,301,0.300126,0.047166,0.255443,0.104459
1237662223555559510,17.77457,16.78606,16.31205,15.95323,3,3900,301,0.094255,0.014052,0.102085,0.0253492
1237662223555559990,21.81145,19.92363,19.28574,18.88184,3,3900,301,0.363569,0.019695,0.359223,0.0581042
1237662223555560104,19.94762,19.53007,19.31244,19.33715,3,3900,301,0.042398,0.039814,0.0357173,0.016568
1237662223555560214,21.25716,20.05439,19.7051,19.26816,3,3900,301,0.389928,0.052653,0.383265,0.0856857
1237662223555560243,21.71607,20.60644,20.20522,19.86527,3,3900,301,0.158789,0.021261,0.180023,0.0804803
1237662223555560311,21.27306,20.87297,20.67094,20.28219,3,3900,301,0.118378,0.050924,0.0623054,0.0625165
1237662223555560350,22.54733,20.73371,26.83098,20.82289,3,3900,301,0.148345,0.093328,0.266999,0.123842
1237662223555560387,20.47683,20.07244,19.88563,19.95003,3,3900,301,0.027152,0.017739,0.0466913,0.0785655
1237662223555560429,21.83961,19.98467,19.04736,18.57368,3,3900,301,0.490262,0.01549,0.490105,0.0728114
1237662223555560485,20.2864,19.38385,18.95272,18.55291,3,3900,301,0.057435,0.01472,0.0672994,0.0191684
1237662223555560583,22.30635,20.46088,19.83503,19.25341,3,3900,301,0.379722,0.021992,0.359279,0.0553916
1237662223555560683,20.76322,20.28837,20.02326,19.9397,3,3900,301,0.045306,0.018922,0.0560982,0.025499
1237662223555624986,21.22304,20.16811,19.69464,19.39773,3,3900,301,0.187279,0.024191,0.187694,0.0460536
1237662223555625132,17.69089,17.06506,16.6412,16.38242,3,3900,301,0.071039,0.012341,0.0685764,0.0216027
1237662223555625654,21.54826,20.78192,20.57209,20.19008,3,3900,301,0.310448,0.022825,0.299365,0.0737088
1237662223555625851,21.24435,19.70397,19.13167,18.70965,3,3900,301,0.291085,0.031908,0.27726,0.0728385
1237662223555626133,21.65754,20.25044,19.69931,19.19446,3,3900,301,0.258067,0.038808,0.244314,0.0777592
1237662223555626217,22.37583,20.82033,19.99794,19.6881,3,3900,301,0.403952,0.043454,0.368216,0.128838
1237662223555691011,21.70853,20.56634,20.02499,19.72714,3,3900,301,0.340502,0.078195,0.292005,0.112327
1237662223555691562,22.16123,20.97767,20.54325,20.11758,3,3900,301,0.409689,0.084104,0.365039,0.125013
1237662223555691661,20.7653,19.99554,19.77446,19.44713,3,3900,301,0.182143,0.054306,0.11323,0.0643088
1237662223555691708,21.43118,19.92384,19.39094,18.88398,3,3900,301,0.355063,0.051819,0.260164,0.0721419
1237662223555691745,21.51655,20.72825,20.18752,19.71774,3,3900,301,0.405069,0.1562,0.215922,0.15674
1237662223555756062,21.29264,20.878,20.12293,20.25646,3,3900,301,0.155594,0.076454,0.166222,0.191622
1237662223555756075,16.17634,15.6605,15.54221,15.50872,3,3900,301,0.203313,0.087048,0.0341484,0.0152938
1237662223555756628,22.35281,20.92413,20.56094,20.04628,3,3900,301,0.340121,0.056002,0.25744,0.115911
1237662223555756654,21.47595,19.78296,19.16867,18.78973,3,3900,301,0.320189,0.024804,0.31747,0.048215
1237662223555756831,21.09136,20.27657,19.84098,19.50867,3,3900,301,0.297224,0.079725,0.189775,0.0856102
1237662223555757028,22.26729,20.49562,19.95712,19.4143,3,3900,301,0.347266,0.040881,0.344786,0.0575649
1237662223555822528,21.10025,19.59016,18.93721,18.36548,3,3900,301,0.315002,0.065768,0.307831,0.0997686
1237662223555822547,21.79451,20.58412,20.13739,19.81352,3,3900,301,0.175555,0.020896,0.170807,0.0359164
1237662224092233937,26.21675,18.52194,16.19538,16.04169,3,3900,301,0.717122,0.129763,0.433692,0.209636
1237662224092234711,22.03144,20.9443,20.22928,19.96108,3,3900,301,0.509478,0.127024,0.510361,0.152463
1237662224092299400,14.34837,13.6632,13.29485,12.98304,3,3900,301,0.055076,0.022879,0.0608246,0.0360807
1237662224092299729,18.64441,17.57003,17.07201,16.63279,3,3900,301,0.131569,0.017726,0.149138,0.0354565
1237662224092299803,22.39587,20.54499,19.88647,19.37199,3,3900,301,0.376415,0.027971,0.370445,0.0560789
1237662224092300354,20.92035,19.29519,18.67592,18.20716,3,3900,301,0.300094,0.02761,0.287323,0.0456146
1237662224092300364,22.26265,20.94854,20.39534,20.02195,3,3900,301,0.317311,0.060656,0.287555,0.108847
